measuring point,CON_L1,GF1,GF2,GF6,GF7,GF8,GF11,GF14,GF17,SEG1,GF3,GF4,CONV1,RIS10,RIS11,CONV2,SEG2,SEG3,SEG4,SEG5,dp2,ILS1,ILS2,dp1,GF19,GF22,GF23,ZL1,ZL2,CON_R1,CON_R2,RIS1,RIS2,RIS3,RIS4,RIS5,ULS1,ULS2,RIS12,RIS13,ZR1,ZR2,gm1,gm2
sensor number,1,3,4,6,7,8,9,10,11,13,15,16,17,21,22,23,25,26,27,28,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,48,49,50,51,52,53,101,102
sensor range,500,250,250,100,100,100,100,100,100,500,250,250,250,100,100,100,250,250,250,250,25,250,250,50,50,50,50,50,50,500,500,500,500,250,250,250,250,250,100,50,50,50,1,1
sensor height,-0.187,-0.046,0.033,0.233,0.349,0.449,0.599,0.749,0.899,-0.245,0.083,0.131,0.178,0.601,1.101,0.478,-0.205,-0.165,-0.084,-0.023,nan,0.628,0.628,nan,0.999,1.295,1.488,1.154,1.592,-0.35,-0.35,-0.29,-0.225,-0.16,-0.128,-0.03,1.056,1.056,1.637,1.735,1.401,1.839,0.0,0.0
2025-09-11 18:01:38.500,79.13,26.76,9.77,2.09,1.86,1.76,1.24,0.58,0.55,86.97,1.32,2.1,-0.76,14.19,12.36,-0.25,67.49,48.01,9.49,1.71,5.17,39.92,39.92,9.53,0.8,0.77,0.78,0.72,0.77,125.13,123.46,94.37,68.67,40.79,19.37,15.68,28.55,24.78,8.88,8.38,5.92,4.7,62.25,124.75
2025-09-11 18:01:38.716,82.41,28.18,11.39,2.42,2.26,2.08,1.57,1.15,1.03,89.42,1.93,2.3,0.26,14.84,13.17,0.07,68.11,48.63,9.49,2.12,5.38,40.74,39.31,9.7,0.96,0.73,0.82,0.72,0.69,125.13,109.2,91.52,67.85,39.77,19.37,15.68,29.57,27.65,9.04,8.46,6.25,4.74,62.25,124.75
2025-09-11 18:01:38.962,79.13,27.78,10.58,2.09,1.94,1.84,1.49,1.07,1.2,89.83,2.34,3.12,0.67,15.08,13.17,0.07,69.74,49.24,10.71,2.73,5.6,42.17,40.12,9.98,0.92,0.94,0.95,0.84,0.93,125.94,120.61,91.52,68.26,39.77,18.96,16.29,29.16,27.44,8.96,8.42,6.08,4.66,62.25,124.75
2025-09-11 18:01:39.211,77.91,27.98,10.78,2.09,1.94,1.92,1.49,1.15,1.11,89.42,2.54,2.71,0.87,15.25,13.99,0.32,68.31,48.63,10.31,2.94,5.62,41.56,41.56,10.1,0.96,0.85,0.95,0.88,0.89,126.75,116.53,93.15,68.67,39.37,19.37,16.29,31.2,27.85,8.96,8.38,6.21,4.74,62.25,124.75
2025-09-11 18:01:39.462,79.54,27.78,10.78,2.17,1.86,1.84,1.49,1.15,1.2,88.6,2.54,2.71,0.87,15.25,13.82,0.24,68.72,49.04,10.1,2.73,5.52,41.97,41.56,10.02,0.88,0.85,0.95,0.76,0.77,127.56,112.05,93.96,67.85,40.59,20.39,15.88,32.43,26.62,9.2,8.58,6.29,4.78,62.25,124.75
2025-09-11 18:01:39.715,83.63,29.2,11.6,2.26,1.94,1.92,1.4,1.23,1.11,88.19,1.93,1.89,0.26,15.08,13.42,-0.01,67.7,48.63,9.49,2.12,5.34,40.53,40.33,10.06,0.88,0.69,0.74,0.64,0.73,126.34,120.2,93.15,66.21,38.96,19.98,14.86,33.24,25.4,9.61,8.62,6.0,4.58,62.25,124.75
2025-09-11 18:01:39.962,79.95,27.78,10.38,2.01,1.69,1.92,1.32,0.99,0.95,88.19,2.34,2.91,0.87,15.17,13.5,0.16,68.72,48.83,10.1,2.94,5.01,41.76,41.35,9.94,0.88,0.81,0.82,0.72,0.77,126.75,118.57,95.6,70.3,39.77,20.39,15.88,33.24,28.87,9.61,8.99,6.29,4.82,62.25,124.75
2025-09-11 18:01:40.212,80.36,27.37,10.58,2.01,1.94,1.92,1.49,0.82,1.11,89.42,2.13,2.71,1.07,14.68,13.17,0.24,69.13,49.85,10.31,3.14,4.58,41.97,41.15,9.7,0.92,0.81,0.82,0.76,0.69,126.75,119.39,94.78,70.3,39.37,20.39,15.27,33.45,29.08,9.69,9.11,6.25,4.82,62.25,124.75
2025-09-11 18:01:40.461,79.95,27.37,9.77,1.85,1.61,1.76,1.24,1.07,1.2,89.42,2.34,2.91,0.87,14.35,12.93,0.4,68.72,49.24,10.1,2.73,4.26,41.56,39.51,9.09,0.88,0.69,0.87,0.92,0.93,127.97,121.42,93.56,70.3,40.59,20.39,15.47,33.65,29.9,9.69,8.95,6.33,4.9,62.25,124.75
2025-09-11 18:01:40.712,78.32,26.76,9.36,1.61,1.37,1.35,1.08,0.82,0.79,88.6,1.93,2.51,0.26,13.62,12.2,0.32,67.7,48.63,9.29,1.71,4.01,41.15,39.51,8.6,0.84,0.77,0.82,0.6,0.73,126.34,112.46,92.74,65.8,38.96,19.78,14.05,34.26,31.94,9.12,8.7,6.08,4.86,62.25,124.75
2025-09-11 18:01:40.962,77.5,26.35,9.36,1.36,0.88,1.19,1.0,0.82,0.95,87.78,0.91,1.69,0.26,13.21,11.71,-0.01,66.27,47.2,8.88,1.71,3.99,40.94,40.53,8.15,0.68,0.65,0.78,0.64,0.73,125.13,110.83,92.74,67.03,38.35,19.37,14.46,33.86,33.37,8.8,8.46,6.25,4.78,62.25,124.75
